Pergunta;Alternativa 1;Alternativa 2;Alternativa 3;Alternativa 4;Alternativa 5;Alternativa 6
"Como a organização mede e avalia o progresso da cultura digital?";"Não há qualquer medição ou avaliação do progresso da cultura digital.";"A organização realiza avaliações esporádicas e sem critérios claros.";"Há métricas básicas para medir o progresso, mas a avaliação é limitada a algumas áreas.";"A organização possui métricas estabelecidas e realiza avaliações regulares da cultura digital.";"O progresso é medido com métricas abrangentes, envolvendo toda a organização, e é compartilhado com os colaboradores.";"A avaliação da cultura digital é contínua, utilizando métricas avançadas e feedback dos colaboradores, com ajustes constantes."
"Como a organização promove a autonomia e empowerment dos colaboradores na era digital?";"Não há incentivo à autonomia; decisões são centralizadas na liderança.";"A autonomia é limitada a níveis mais altos; colaboradores de outros níveis têm pouca liberdade para tomar decisões.";"A organização permite alguma autonomia em projetos específicos, mas sem práticas consistentes.";"A autonomia é incentivada, com colaboradores participando de decisões e iniciativas digitais.";"A organização promove ativamente o empowerment, com todos os colaboradores participando de decisões estratégicas e tendo liberdade para inovar.";"A autonomia e o empowerment são pilares culturais, com todos os colaboradores capacitados e incentivados a inovar e a tomar decisões que impactam a organização."
"Qual é a abordagem da organização em relação à gestão do conhecimento digital?";"Não há práticas de gestão do conhecimento digital; o conhecimento é disperso e mal documentado.";"O conhecimento digital é gerido informalmente, com pouca documentação e acessibilidade limitada.";"Há práticas básicas de gestão do conhecimento digital, mas a disseminação é limitada a certos grupos.";"A organização possui um sistema de gestão do conhecimento digital estruturado e acessível a todos os colaboradores.";"O conhecimento digital é gerido de forma ativa, com colaboração e atualização constantes, acessível a todos.";"A gestão do conhecimento digital é estratégica, integrada e continuamente melhorada, com todos os colaboradores contribuindo ativamente."
"Como a organização integra tecnologias emergentes em sua cultura?";"A organização é resistente a novas tecnologias, mantendo práticas tradicionais.";"As tecnologias emergentes são vistas com ceticismo e adotadas apenas quando necessário.";"A organização adota algumas tecnologias emergentes, mas sem integração cultural efetiva.";"A organização está aberta a novas tecnologias e incentiva a experimentação, mas a adoção é limitada a algumas áreas.";"A adoção de tecnologias emergentes é ativa e promovida em toda a organização, com uma integração cultural significativa.";"A organização é líder na adoção de tecnologias emergentes, integrando-as de forma contínua e promovendo uma cultura digital inovadora."
"Como a organização envolve clientes e parceiros no desenvolvimento digital?";"A organização não envolve clientes e parceiros em iniciativas digitais.";"O envolvimento é limitado a feedbacks esporádicos e não estratégicos.";"Há colaboração básica com clientes e parceiros, mas sem integração nas estratégias digitais.";"A organização colabora regularmente com clientes e parceiros em iniciativas digitais e projetos conjuntos.";"Clientes e parceiros são ativamente envolvidos no desenvolvimento de estratégias digitais e inovação.";"Clientes e parceiros são parte integrante das iniciativas digitais, colaborando de forma estratégica e contínua na cocriação de soluções."
"Qual é a atitude da organização em relação ao risco e à falha em iniciativas digitais?";"A organização evita riscos e trata falhas como problemas graves, desincentivando novas tentativas.";"Os riscos são evitados e falhas são punidas, com pouca margem para inovação.";"A organização aceita riscos limitados e trata falhas com neutralidade, mas sem aprender com elas.";"A organização aceita riscos moderados e analisa falhas para aprender com elas.";"Os riscos são incentivados como parte do processo de inovação, e falhas são vistas como aprendizado para futuras iniciativas.";"A organização incentiva a tomada de riscos calculados e trata falhas como oportunidades valiosas de aprendizado e evolução."
"Como a organização alinha sua estratégia digital com os valores e objetivos corporativos?";"Não há alinhamento entre a estratégia digital e os objetivos e valores corporativos.";"A estratégia digital é tratada como algo separado e tem pouco impacto na cultura corporativa.";"A organização busca alinhar a estratégia digital com os objetivos, mas ainda há desconexão com os valores.";"A estratégia digital é amplamente alinhada com os objetivos e valores, mas ainda há áreas para integração.";"A estratégia digital está completamente integrada aos valores e objetivos da organização, orientando decisões e projetos.";"A estratégia digital é um reflexo dos valores e objetivos corporativos, guiando a cultura e todas as ações da organização."
"Como a organização incentiva a inovação e a experimentação digital?";"A organização não incentiva a inovação digital; segue práticas tradicionais.";"A inovação digital é incentivada esporadicamente, mas sem suporte real.";"Há incentivos para inovação digital, mas eles se limitam a áreas específicas e iniciativas isoladas.";"A inovação digital é incentivada regularmente, com suporte para experimentação em várias áreas.";"A organização promove a inovação digital de forma estratégica, com recursos e suporte dedicados a iniciativas experimentais.";"A inovação e experimentação digital são parte integral da cultura, com todos os colaboradores engajados em promover novas ideias e tecnologias."
"De que forma a organização integra práticas ágeis em seus processos?";"A organização não utiliza práticas ágeis em seus processos.";"Algumas práticas ágeis são usadas, mas de forma limitada e sem consistência.";"A organização adota metodologias ágeis em projetos específicos, mas sem integração plena nos processos.";"Práticas ágeis são utilizadas em vários departamentos, com integração parcial nos processos organizacionais.";"A organização aplica metodologias ágeis em grande parte de seus processos, promovendo flexibilidade e inovação.";"A cultura ágil é parte central da organização, com todos os processos estruturados em torno de práticas ágeis e adaptativas."
"Como a organização promove a diversidade e inclusão em seu ambiente de trabalho?";"A organização não tem políticas claras de diversidade e inclusão.";"Há reconhecimento da importância da diversidade, mas poucas ações concretas.";"Existem políticas de diversidade e inclusão, mas são pouco praticadas no dia a dia.";"A diversidade é valorizada e existem programas em andamento para promovê-la, mas ainda enfrenta desafios na implementação.";"A organização promove ativamente a diversidade e inclusão, com programas consistentes e metas claras.";"A diversidade e inclusão são parte integrante da cultura organizacional, sendo amplamente praticadas e valorizadas por todos."
